Id|RouteId|Route|AccountId|Account|Address|City|State|Location|Last24HoursSales|Last7DaysSales|Fill %|Sales|SoldoutItems|EmptyLanes|ItemsToPick|DaysSinceLastVisit|IsAccountOpen
225|35|DO NOT SERVICE|87|TELUS House - 25 York|25 York Street|Toronto|ON|5/F|||0.000000000000000|346.5000|9|9|260|104|True
243|35|DO NOT SERVICE|95|VIA Rail Canada|50 Drummond Street, Unit C|Toronto|ON|2/F Cafeteria|||46.858638743455497|223.2500|0|0|59|136|True
34|35|DO NOT SERVICE|275|Wipro Technologies|2710 Britannia Rd E|Mississauga|ON|2nd Floor Room 263|||0.000000000000000|66.0000|28|30|290|25|True
665|5|Jason Yeung|118|Adaria Vending Services|200 Steelcase Rd E #5|Markham|ON|Reception|||0.000000000000000|0.0000|8|8|312|208|True
703|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Arcadium #1|||0.000000000000000|2244.2500|8|8|268|66|True
704|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Arcadium #2|||0.000000000000000|1859.5000|8|8|262|66|True
705|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Arcadium #3|||0.000000000000000|1055.5000|8|8|262|66|True
709|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Behemoth - Coke Hammer Side||||0.0000|0|0|0|47|True
706|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Behemoth - Coke Shop Side||||0.0000|0|0|0|47|True
710|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Behemoth - Dasani Hammer Side||||0.0000|0|0|0|47|True
707|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Behemoth - Dasani Shop Side||||0.0000|0|0|0|47|True
708|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Behemoth - Glaceau Hammer Side||||0.0000|0|0|0|46|True
711|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Behemoth - Glaceau Shop Side||||0.0000|0|0|0|47|True
720|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Coke Oasis - #1 Coke||||0.0000|0|0|0|47|True
721|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Coke Oasis - #2 Vanilla||||0.0000|0|0|0|47|True
722|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Coke Oasis - #3 Sprite||||0.0000|0|0|0|47|True
723|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Coke Oasis - #4 Powerade||||0.0000|0|0|0|47|True
724|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Coke Oasis - #5 Dasani||||0.0000|0|0|0|47|True
725|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Coke Oasis - #6 Nestea||||0.0000|0|0|0|47|True
801|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Crystal Arcade Basketball - Coke||||0.0000|0|0|0|45|True
804|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Crystal Arcade Basketball - Dasani||||0.0000|0|0|0|45|True
803|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Crystal Arcade Basketball - Glaceau||||0.0000|0|0|0|45|True
802|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Crystal Arcade Basketball - Zero||||0.0000|0|0|0|45|True
778|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Dino Walk Front Gate - Powerade|||33.333333333333333|1966.5000|2|2|3|165|True
737|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Flight Deck - Coke||||0.0000|0|0|0|45|True
740|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Flight Deck - Dasani||||0.0000|0|0|0|45|True
739|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Flight Deck - Glaceau||||0.0000|0|0|0|45|True
738|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Flight Deck - Zero||||0.0000|0|0|0|45|True
751|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Leviathan - Coke||||0.0000|0|0|0|44|True
754|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Leviathan - Powerade||||0.0000|0|0|0|44|True
752|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Leviathan - Zero||||0.0000|0|0|0|44|True
726|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Mountainside - Coke|||0.000000000000000|1520.0000|1|1|64|41|True
728|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Mountainside - Dasani|||0.000000000000000|5234.0000|3|3|96|41|True
729|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Mountainside - Powerade|||0.000000000000000|1058.0000|4|4|128|41|True
727|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Mountainside - Zero|||0.000000000000000|1279.7500|6|6|256|41|True
759|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Picnic - Coke||||0.0000|0|0|0|46|True
760|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Picnic - Dasani||||0.0000|0|0|0|46|True
761|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Picnic - Powerade||||0.0000|0|0|0|46|True
765|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Psyclone - Dasani||||0.0000|0|0|0|46|True
764|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Psyclone - Glaceau||||0.0000|0|0|0|46|True
766|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Psyclone - Powerade||||0.0000|0|0|0|46|True
763|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Psyclone - Zero||||0.0000|0|0|0|46|True
780|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Splash Works Pool - Coke|||0.000000000000000|4648.2500|6|6|240|115|True
781|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Splash Works Pool - Dasani|||0.000000000000000|0.0000|3|3|176|115|True
782|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Splash Works Pool - Powerade|||0.000000000000000|0.0000|4|4|168|115|True
783|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Splash Works Washroom - Coke|||0.000000000000000|0.0000|6|6|384|115|True
784|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Splash Works Washroom - Dasani|||0.000000000000000|4460.5000|3|3|176|115|True
785|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Splash Works Washroom - Powerade|||0.000000000000000|0.0000|4|4|336|115|True
719|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Staff - Cash Control||||0.0000|0|0|0|46|True
770|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Staff - Security Gate #1|||0.000000000000000|31.0000|6|6|240|137|True
771|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Staff - Security Gate #2|||0.000000000000000|67.2500|7|7|228|137|True
792|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Vortex - Coke||||0.0000|0|0|0|45|True
794|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Vortex - Dasani||||0.0000|0|0|0|45|True
1274|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Yukon Striker #1||||0.0000|0|0|0|45|True
1275|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|"Yukon Striker #2 Dasani "||||0.0000|0|0|0|45|True
1276|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Yukon Striker #3 Glaceau Fascia||||0.0000|0|0|0|45|True
1277|40|Off Season Idle|282|Canada's Wonderland|9580 Jane St|Vaughan|ON|Yukon Striker #4 Poweraid Facia||||0.0000|0|0|0|45|True
1107|40|Off Season Idle|331|Cineplex - Playdium - Square One|99 Rathburn Road West|Mississauga|ON|Outside - Go Kart|||0.000000000000000|0.0000|8|8|300|48|True
1106|40|Off Season Idle|331|Cineplex - Playdium - Square One|99 Rathburn Road West|Mississauga|ON|Outside - Patio|||0.000000000000000|0.0000|8|8|300|48|True
1282|40|Off Season Idle|364|CN Tower|301 Front St W|Toronto|ON|CN Tower Patio Coke (seasonal)||||0.0000|0|0|0|54|True
1283|40|Off Season Idle|364|CN Tower|301 Front St W|Toronto|ON|CN Tower Patio Dasani (seasonal)||||0.0000|0|0|0|54|True
1284|40|Off Season Idle|364|CN Tower|301 Front St W|Toronto|ON|CN Tower Patio Powerade (seasonal)||||0.0000|0|0|0|54|True
1266|40|Off Season Idle|364|CN Tower|301 Front St W|Toronto|ON|CN Tower South Side Exit||||0.0000|0|0|0|54|True
1265|40|Off Season Idle|364|CN Tower|301 Front St W|Toronto|ON|CN Tower South Side Exit||||0.0000|0|0|0|54|True
1281|40|Off Season Idle|323|Oshawa - Civic Recreation Complex|99 Thornton Rd S|Oshawa|ON|Center Stadium Track/Field House #5||||0.0000|0|0|0|46|True
1280|40|Off Season Idle|323|Oshawa - Civic Recreation Complex|99 Thornton Rd S|Oshawa|ON|Center Stadium Track/Field House #5||||30.5000|0|0|0|46|True
33|13|Route 1|279|Angie's Catering - Mondelez's Cafeteria|5 Bermondsey Rd|East York|ON|Mondelez Kitchen||||79.5000|0|0|0|724|True
104|13|Route 1|235|Autodesk Canada Ltd|661 University Ave|Toronto|ON|3/F Kitchen||9.2500|72.108843537414965|88.0000|1|1|83|32|True
437|13|Route 1|235|Autodesk Canada Ltd|661 University Ave|Toronto|ON|3/F Kitchen||2.0000|59.595959595959595|41.0000|0|0|80|32|True
293|13|Route 1|378|BGIS - CBC Broadcast Center|250 Front Street West|"Toronto "|ON|4th Floor|22.0000|83.0000|85.514018691588785|97.5000|1|1|62|10|True
1269|13|Route 1|378|BGIS - CBC Broadcast Center|250 Front Street West|"Toronto "|ON|4th Floor|27.0000|192.2500|72.586206896551724|283.2500|3|3|159|10|True
94|13|Route 1|378|BGIS - CBC Broadcast Center|250 Front Street West|"Toronto "|ON|6th Floor|||66.502463054187192|105.5000|1|1|97|10|True
88|13|Route 1|252|BMO Bank of Montreal (Downtown)|55 Bloor Street West|Toronto|ON|19/F|6.2500|12.5000|85.915492957746478|14.7500|0|0|60|6|True
849|13|Route 1|286|Centennial College - Story Arts Centre|951 Carlaw Ave|Toronto|ON|Inside Cafe Coke||8.2500|81.250000000000000|92.5000|0|0|60|14|True
850|13|Route 1|286|Centennial College - Story Arts Centre|951 Carlaw Ave|Toronto|ON|Inside Cafe Dasani||6.0000|81.338028169014084|30.5000|0|0|53|14|True
976|13|Route 1|286|Centennial College - Story Arts Centre|951 Carlaw Ave|Toronto|ON|Inside Cafe Powerade|||35.197368421052631|628.2500|0|0|46|20|True
522|13|Route 1|260|CIBC Mellon - Toronto|1 York Street|Toronto|ON|7th floor|2.5000|24.0000|58.181818181818181|229.5000|0|0|230|33|True
1095|13|Route 1|327|Cineplex - Scotiabank|259 Richmond Street West|Toronto|ON|Arcade|51.0000|212.0000|74.160206718346253|168.0000|0|0|100|6|True
1097|13|Route 1|327|Cineplex - Scotiabank|259 Richmond Street West|Toronto|ON|Concessions - Coke|15.0000|165.0000|66.455696202531645|140.0000|0|0|106|6|True
1096|13|Route 1|327|Cineplex - Scotiabank|259 Richmond Street West|Toronto|ON|Concessions - Healthy|10.0000|132.0000|78.378378378378378|122.0000|0|0|64|6|True
1100|13|Route 1|329|Cineplex - Varsity (Manulife Centre)|55 Bloor St W|Toronto|ON|Lobby|78.0000|271.0000|65.333333333333333|309.5000|0|0|104|10|True
1099|13|Route 1|328|Cineplex - Yonge Dundas|10 Dundas St E|Toronto|ON|Lobby|30.0000|330.0000|52.302631578947368|100.0000|1|1|145|3|True
1151|13|Route 1|328|Cineplex - Yonge Dundas|10 Dundas St E|Toronto|ON|Lobby|38.0000|262.5000|83.783783783783783|98.5000|0|0|46|3|True
1098|13|Route 1|328|Cineplex - Yonge Dundas|10 Dundas St E|Toronto|ON|Upstairs Theatres|10.0000|599.0000|44.783715012722646|978.0000|1|1|217|17|True
1196|13|Route 1|364|CN Tower|301 Front St W|Toronto|ON|Elevators near edgewalk sign in|||89.312977099236641|3.0000|0|0|41|1|True
1199|13|Route 1|364|CN Tower|301 Front St W|Toronto|ON|Entrance Ticketbooth||138.7500|89.393939393939393|3.0000|0|0|45|1|True
1208|13|Route 1|364|CN Tower|301 Front St W|Toronto|ON|Gift Shop/Edgewalk sign in|3.5000|117.0000|76.298701298701298|3.5000|0|0|72|1|True
1197|13|Route 1|364|CN Tower|301 Front St W|Toronto|ON|Giftshop Washrooms|16.7500|41.5000|80.128205128205128|54.2500|0|0|62|25|True
1198|13|Route 1|364|CN Tower|301 Front St W|Toronto|ON|Giftshop Washrooms|4.2500|41.5000|81.164383561643835|0.0000|0|0|55|0|True
1202|13|Route 1|364|CN Tower|301 Front St W|Toronto|ON|Glass Floor|||79.276315789473684|34.0000|0|0|63|11|True
1203|13|Route 1|364|CN Tower|301 Front St W|Toronto|ON|Glass Floor|7.0000|508.0000|75.328947368421052|3.0000|0|0|75|1|True
1204|13|Route 1|364|CN Tower|301 Front St W|Toronto|ON|Mezzanine Coke|16.7500|632.2500|74.062500000000000|0.0000|0|0|83|0|True
1205|13|Route 1|364|CN Tower|301 Front St W|Toronto|ON|Mezzanine Dasani|||89.189189189189189|3.0000|0|0|31|0|True
1207|13|Route 1|364|CN Tower|301 Front St W|Toronto|ON|Mezzanine Evian|10.0000|234.5000|80.625000000000000|10.5000|0|0|59|0|True
1206|13|Route 1|364|CN Tower|301 Front St W|Toronto|ON|Mezzanine Refresh||543.5000|87.500000000000000|11.5000|0|0|36|0|True
1200|13|Route 1|364|CN Tower|301 Front St W|Toronto|ON|Mezzanine Washrooms||188.7500|94.370860927152317|0.0000|0|0|42|0|True
1201|13|Route 1|364|CN Tower|301 Front St W|Toronto|ON|Security Desk Basement, Staff Vendor|6.5000|45.0000|83.333333333333333|3.5000|0|0|51|1|True
1292|13|Route 1|364|CN Tower|301 Front St W|Toronto|ON|Staff Room lower level, service level||23.0000|89.962121212121212|1.0000|0|0|52|1|True
71|13|Route 1|117|Compass Group Canada - CBRE/Government of Ontario|222 Jarvis Street|Toronto|ON|Basement|1.7500|6.7500|57.919621749408983|200.5000|3|3|178|31|True
1241|13|Route 1|374|George Brown College - Business Building|290 Adelaide Street East|Toronto|ON|Main Lobby||3.2500|82.792207792207792|24.7500|0|0|46|13|True
1238|13|Route 1|370|George Brown College - Cooperage|80 Cooperage St|Old Toronto|ON|2nd Floor|||63.846153846153846|228.5000|0|0|141|13|True
1279|13|Route 1|381|George Brown College - Daniels|130 Queens Quay East|"Toronto "|ON|2/F Lunchroom|||26.710097719869706|69.5000|3|3|86|19|True
1278|13|Route 1|381|George Brown College - Daniels|130 Queens Quay East|"Toronto "|ON|3/F Lunchroom|||78.571428571428571|20.0000|0|0|58|13|True
1236|13|Route 1|369|George Brown College - Richmond|230 Richmond St E|Old Toronto|ON|Main Floor|||76.086956521739130|102.2500|0|0|66|35|True
1235|13|Route 1|367|George Brown College - School of ESL|341 King St. E|Toronto|ON|Main Floor||6.0000|55.725190839694656|210.2500|0|0|174|19|True
1233|13|Route 1|366|George Brown College - St. James Campus|200 King St. E|Toronto|ON|2nd Floor|||49.038461538461538|56.5000|1|1|85|19|True
1232|13|Route 1|366|George Brown College - St. James Campus|200 King St. E|Toronto|ON|3rd Floor|||67.948717948717948|111.2500|0|0|100|19|True
1231|13|Route 1|366|George Brown College - St. James Campus|200 King St. E|Toronto|ON|4th Floor|||74.679487179487179|68.0000|0|0|79|24|True
1230|13|Route 1|366|George Brown College - St. James Campus|200 King St. E|Toronto|ON|5th Floor|||69.551282051282051|86.7500|0|0|95|19|True
1221|13|Route 1|366|George Brown College - St. James Campus|200 King St. E|Toronto|ON|Cafeteria|3.2500|38.7500|76.602564102564102|87.0000|1|1|73|13|True
1223|13|Route 1|366|George Brown College - St. James Campus|200 King St. E|Toronto|ON|Cafeteria|4.5000|35.2500|79.391891891891891|95.0000|0|0|61|13|True
1359|13|Route 1|366|George Brown College - St. James Campus|200 King St. E|Toronto|ON|Cafeteria|3.2500|3.2500|77.922077922077922|21.2500|0|0|67|13|True
1209|13|Route 1|368|George Brown College - Waterfront Campus|51 Dockside Dr|Toronto|ON|1st Floor Cafeteria||23.2500|66.233766233766233|130.2500|0|0|104|25|True
1210|13|Route 1|368|George Brown College - Waterfront Campus|51 Dockside Dr|Toronto|ON|1st Floor Entrance|3.2500|26.5000|57.792207792207792|26.5000|0|0|132|10|True
1220|13|Route 1|368|George Brown College - Waterfront Campus|51 Dockside Dr|Toronto|ON|2nd Floor Elevators|||77.564102564102564|52.0000|0|0|70|10|True
1212|13|Route 1|368|George Brown College - Waterfront Campus|51 Dockside Dr|Toronto|ON|2nd Floor Xerox|||78.947368421052631|37.0000|0|0|53|25|True
1214|13|Route 1|368|George Brown College - Waterfront Campus|51 Dockside Dr|Toronto|ON|3rd Floor Elevators|||72.077922077922077|3.2500|0|0|86|10|True
1215|13|Route 1|368|George Brown College - Waterfront Campus|51 Dockside Dr|Toronto|ON|4th Floor Elevators|||57.467532467532467|48.0000|1|1|123|10|True
1216|13|Route 1|368|George Brown College - Waterfront Campus|51 Dockside Dr|Toronto|ON|5th Floor Elevators|||76.602564102564102|0.0000|1|1|73|10|True
1218|13|Route 1|368|George Brown College - Waterfront Campus|51 Dockside Dr|Toronto|ON|6th Floor Elevators|||74.025974025974025|0.0000|1|1|80|10|True
1219|13|Route 1|368|George Brown College - Waterfront Campus|51 Dockside Dr|Toronto|ON|7th Floor Elevators||10.5000|64.285714285714285|10.5000|0|0|112|10|True
1211|13|Route 1|368|George Brown College - Waterfront Campus|51 Dockside Dr|Toronto|ON|Basement|||69.155844155844155|50.7500|0|0|75|25|True
1239|13|Route 1|304|Hospital for Sick Children|555 University Ave|Toronto|ON|2/F Beside Coke Machine|8.5000|107.5000|64.141414141414141|265.7500|3|3|213|17|True
1240|13|Route 1|304|Hospital for Sick Children|555 University Ave|Toronto|ON|2/F OR Break Room|||130.000000000000000|33.5000|1|1|8|17|True
245|13|Route 1|41|Hyatt Regency Toronto|370 King St W|Toronto|ON|11/F|||84.000000000000000|52.5000|0|0|49|24|True
217|13|Route 1|41|Hyatt Regency Toronto|370 King St W|Toronto|ON|14/F|||70.000000000000000|30.0000|0|0|81|24|True
246|13|Route 1|41|Hyatt Regency Toronto|370 King St W|Toronto|ON|16/F|||77.000000000000000|27.5000|0|0|70|24|True
218|13|Route 1|41|Hyatt Regency Toronto|370 King St W|Toronto|ON|18/F|||71.666666666666666|25.0000|0|0|68|24|True
216|13|Route 1|41|Hyatt Regency Toronto|370 King St W|Toronto|ON|9/F|||83.333333333333333|27.5000|0|0|64|24|True
304|13|Route 1|281|Intelex Technologies|70 University Ave Ste 800|Toronto|ON|9F Kitchen Area|0.6000|35.3500|87.869362363919129|13.1000|0|0|74|1|True
701|13|Route 1|281|Intelex Technologies|70 University Ave Ste 800|Toronto|ON|9F Kitchen Area|3.3000|14.1000|70.930232558139534|5.4000|0|0|175|1|True
702|13|Route 1|281|Intelex Technologies|70 University Ave Ste 800|Toronto|ON|9F Kitchen Area|1.4500|12.3500|86.946902654867256|4.8500|0|0|59|1|True
82|13|Route 1|46|Intercontinental Toronto Centre|225 Front Street West|Toronto|ON|Staff Lunchroom|20.2500|88.0000|75.510204081632653|46.2500|0|0|96|3|True
37|13|Route 1|46|Intercontinental Toronto Centre|225 Front Street West|Toronto|ON|Staff Lunchroom|9.2500|47.2500|65.079365079365079|19.5000|0|0|110|3|True
21|13|Route 1|232|Mondelez Canada East York Bakery|5 Bermondsey Road|Toronto|ON|Lunch room||||0.0000|||0|0|True
439|13|Route 1|232|Mondelez Canada East York Bakery|5 Bermondsey Road|Toronto|ON|Lunch room|8.5000|48.7500|80.900621118012422|6.0000|0|0|123|0|True
440|13|Route 1|232|Mondelez Canada East York Bakery|5 Bermondsey Road|Toronto|ON|Lunch room|10.0000|55.2500|57.236842105263157|2.2500|0|0|130|0|True
441|13|Route 1|232|Mondelez Canada East York Bakery|5 Bermondsey Road|Toronto|ON|Lunch room|25.5000|97.2500|67.000000000000000|19.0000|0|0|99|0|True
455|13|Route 1|232|Mondelez Canada East York Bakery|5 Bermondsey Road|Toronto|ON|Lunch room|19.2500|99.5000|26.190476190476190|18.0000|0|0|248|0|True
453|13|Route 1|232|Mondelez Canada East York Bakery|5 Bermondsey Road|Toronto|ON|Peek Freans Outlet Store|2.5000|6.5000|56.000000000000000|6.5000|0|0|110|7|True
156|13|Route 1|66|Postmedia Network|365 Bloor St E 11/F|Toronto|ON|11/F Lunchroom||6.0000|57.272727272727272|57.2500|0|0|94|21|True
86|13|Route 1|66|Postmedia Network|365 Bloor St E 11/F|Toronto|ON|11/F Lunchroom|4.7500|8.2500|45.954692556634304|54.5000|1|1|167|21|True
247|13|Route 1|102|Princess Margaret Hospital|610 University Ave.|Toronto|ON|17/F - Beside Elevators|8.2500|55.0000|74.172185430463576|82.5000|0|0|78|12|True
157|13|Route 1|102|Princess Margaret Hospital|610 University Ave.|Toronto|ON|17/F - Beside Elevators|2.7500|57.7500|70.430107526881720|121.0000|0|0|110|12|True
87|13|Route 1|102|Princess Margaret Hospital|610 University Ave.|Toronto|ON|5/F - Beside Staff Cafeteria|2.0000|10.0000|79.746835443037974|22.0000|0|0|52|12|True
158|13|Route 1|102|Princess Margaret Hospital|610 University Ave.|Toronto|ON|5/F - Beside Staff Cafeteria|5.7500|14.2500|70.833333333333333|19.7500|0|0|73|12|True
55|13|Route 1|103|Princess Margaret Hospital Lodge|545 Jarvis St.|Toronto|ON|Ground - Rear of Lobby|7.0000|17.0000|80.645161290322580|34.5000|0|0|42|12|True
459|13|Route 1|103|Princess Margaret Hospital Lodge|545 Jarvis St.|Toronto|ON|Ground - Rear of Lobby|10.2500|35.2500|69.000000000000000|50.2500|1|1|93|12|True
115|13|Route 1|72|Ryerson Student Centre|55 Gould Street|Toronto|ON|G/F|||83.739837398373983|14.0000|0|0|60|12|True
89|13|Route 1|72|Ryerson Student Centre|55 Gould Street|Toronto|ON|G/F||2.0000|90.251572327044025|9.0000|0|0|31|12|True
90|13|Route 1|79|SoccerWorld|176 Cherry Street|Toronto|ON|Soccer Dome|20.0000|20.0000|65.853658536585365|88.0000|0|0|85|32|True
429|13|Route 1|79|SoccerWorld|176 Cherry Street|Toronto|ON|Soccer Dome|2.0000|87.0000|61.785714285714285|185.0000|0|0|105|17|True
58|13|Route 1|80|Sol Schools International - Toronto|469 Jarvis St.|Toronto|ON|G/F|8.7500|8.7500|80.241935483870967|30.7500|0|0|49|8|True
163|13|Route 1|80|Sol Schools International - Toronto|469 Jarvis St.|Toronto|ON|G/F|12.2500|12.2500|74.440298507462686|48.5000|0|0|137|8|True
164|13|Route 1|82|St. James Hotel|26 Gerrard Street East|Toronto|ON|4/F|||50.284090909090909|153.0000|0|0|175|78|True
61|13|Route 1|298|St. Michael's Hospital|30 Bond St|Toronto|ON|14/F Cardinal Carter - Hallway|2.5000|18.0000|87.586206896551724|15.5000|0|0|38|7|True
953|13|Route 1|298|St. Michael's Hospital|30 Bond St|Toronto|ON|14/F Cardinal Carter - Hallway|2.7500|38.7500|80.132450331125827|35.7500|0|0|60|7|True
51|13|Route 1|298|St. Michael's Hospital|30 Bond St|Toronto|ON|15/F CC Visitor Lounge|39.7500|206.7500|77.606177606177606|95.2500|0|0|116|2|True
955|13|Route 1|298|St. Michael's Hospital|30 Bond St|Toronto|ON|15/F CC Visitor Lounge|82.0000|329.0000|71.854304635761589|139.7500|0|0|85|2|True
947|13|Route 1|298|St. Michael's Hospital|30 Bond St|Toronto|ON|1F CC Emergency Department|22.5000|345.5000|85.645161290322580|78.5000|0|0|89|2|True
